PC1,PC2,Cluster
1.1210122082240055,-1.9051427781139572,0
1.1279433128022847,2.1374406186585206,0
1.1408368424517574,3.0601909063722483,0
1.1309910691102258,1.545471660694515,0
1.1208423519742379,-1.9092372247752467,0
1.1204545311197958,-2.0485758051840306,0
1.1346053647129928,1.9871961889983478,0
1.1329432410668145,1.8112236240534205,0
1.1343773050987682,1.8813494848442667,0
1.1206805872304297,-2.084180641025501,0
1.1207744976105003,-2.142123704363761,0
1.1375015407905513,2.7396955027184293,0
1.1299340771184347,1.3024437364453227,0
1.121224083161601,-1.9554540612473754,0
1.1207590766003799,-2.0290687305671695,0
1.120698822571491,-2.0294218208989814,0
1.120344150067032,-2.074627911390279,0
1.126863518907081,1.9766554861886498,0
1.0492070749804796,-1.9404708953697996,0
1.1329802365802228,2.0192663359770098,0
1.1370544987397047,2.546100260060825,0
1.1210324622340346,-1.9558346291992061,0
1.140019799183996,3.150414444400524,0
1.1215397414836836,-2.012840011467899,0
1.121151937459329,-1.9012248766185738,0
1.1335054803402462,1.8422803803705072,0
1.1290607416921432,1.2163966595957727,0
1.1195657578532954,-2.272521623495097,0
-3.8807034950090937,-2.4302378459394767,1
-3.8799559616456865,-2.2571879014995835,1
-3.8661048706990777,2.0747503286576334,1
-2.8782918433196896,-2.0549696462079465,1
-2.8792950349768893,-2.094066228301725,1
-2.878455880733065,-2.048248069452653,1
-2.875026882564308,1.510391233875939,1
3.137920469854519,2.573976395630775,0
3.1187642793213612,-2.3369605086668956,0
3.1194915418446527,-2.3641724283998626,0
3.138856318643441,2.9829754729450553,0
3.120977992234222,-1.9457486416016618,0
3.13341279182003,2.02303879239111,0
3.120262096553029,-2.0716440684998587,0
3.1185086041974817,-2.45396086157889,0
3.139221452301406,2.914729098581044,0
3.137674159733857,2.6602730825574947,0
3.12626614892379,-0.49133042945932126,0
2.121036236582758,-1.9652332649435225,0
2.1177906001786333,0.9180083897230309,0
2.1208823261743968,-1.9838576137308537,0
2.1196730615859067,-2.21278060453274,0
2.1411221606633717,0.5299323484218451,0
2.120812453141692,-2.1112934221075994,0
2.120465157137396,-2.1010619894287723,0
2.1202553008687675,-2.1562013775071227,0
