,precision,recall,f1-score,support
0,0.9818103074924209,0.9916885389326334,0.9867247007616975,2286.0
1,0.9725036179450073,0.9411764705882353,0.9565836298932384,714.0
accuracy,0.9796666666666667,0.9796666666666667,0.9796666666666667,0.9796666666666667
macro avg,0.9771569627187141,0.9664325047604343,0.971654165327468,3000.0
weighted avg,0.9795953153801363,0.9796666666666667,0.9795511258950043,3000.0
